A̱o,Trimestre,Mbps (Media de bajada)
2022,4,10.656
2022,3,6.246
2022,2,5.844
2022,1,5.511
2021,4,5.234
2021,3,4.846
2021,2,4.563
2021,1,4.311
2020,4,4.236
2020,3,4.067
2020,2,3.832
2020,1,3.752
2019,4,2.826
2019,3,2.418
2019,2,2.033
2019,1,1.738
2018,4,1.595
2018,3,1.536
2018,2,1.385
2018,1,1.322
2017,4,1.201
2017,3,834.0
2017,2,716.0
2017,1,662.0
2016,4,634.0
2016,3,594.0
2016,2,542.0
2016,1,508.0
2015,4,499.0
2015,3,479.0
2015,2,455.0
2015,1,435.0
2014,4,416.0
2014,3,387.0
2014,2,376.0
2014,1,362.0
